S.No,Image Name,Refererence Caption,M1-Caption,M2-Caption,M3-Caption,
316,374103842_17873ce505,man in black shirt and cast smokes cigarette,man in black shirt and cast smokes cigarette,a man standing next to a man in a white shirt ,"A man wearing a black shirt is standing near a wall, smoking a cigarette in front of others.",
317,374103966_2987706be1,large man at party with drink in his right hand,large man at party with drink in his right hand,a man holding a cell phone in his hand ,A man wearing a white shirt is joyfully enjoying the party with a drink in his hand.,
318,374104006_7f32c8c5de,man in printed shirt holding drink,man in printed shirt holding drink,a man in a red shirt and a black tie ,"A man wearing a patterned shirt stands with a smile on his face, his face illuminated by the light as he holds a beer bottle in his hand.",
319,374176648_ba4b88c221,two people are hiking up grassy hill,two people are hiking up grassy hill,a man walking across a lush green hillside ,"Under the cloudy sky, two men are hiking on a green lush hill.",
320,374567836_3ae12ecffb,dog in snow with ice on fur ,dog in snow with ice on fur ,a dog laying on the ground with a ball in its mouth ,A brown dog is sitting on the snow with a green ball in front of it.,
321,374828031_9d087da5cf,man climbing rock cliff,man climbing rock cliff,a man sitting on a rock on top of a rock ,"Under the sunny sky, a man is climbing a flat cliff.",
322,375171241_0302ad8481, people in reflective clothing riding bikes, people in reflective clothing riding bikes,a parade of cyclists riding down a street ,"On the side of the road, there is barren trees standing in front of buildings while three people in silver suits ride their bicycle cross the road.",
323,375392855_54d46ed5c8,woman skiing down slope,woman skiing down slope,a woman skiing down a snow covered slope ,"the woman is skiing in the snow while wearing a yellow jacket and black pants, and  trees covered in snow is next to him.",
324,3767841911_6678052eb6,girls stands next to water sprinkler,girls stands next to water sprinkler,a young boy in a red shirt is spraying water on a green lawn ,baby girl in an orange dress gets wet as she stands next to water sprinkler in a grassy ground,
325,377872472_35805fc143,three dogs chasing each other in the snow,three dogs chasing each other in the snow,two dogs are playing in the snow together ,Three dogs are running and chasing each other through the snow.,
326,378170167_9b5119d918, dog is running along path outside, dog is running along path outside,a white dog standing on a road next to a grassy area ,"A white dog is energetically running along a dirt path, surrounded by a grassy area",
327,380041023_0dfd712ef1,the brown dog is wearing red collar,the brown dog is wearing red collar,a dog running through a field with grass ,the brown dog is wearing red collar running through a field ,
328,380515798_c2abbf46b0,woman looks over table of organic vegetables at farmer market,woman looks over table of organic vegetables at farmer market,people are standing around a market ,"A stall is set up in the street, featuring a white tent and a table. It is located in front of a building, with people walking nearby",
329,380590140_25b9889772,woman walking in crosswalk near busy street,woman walking in crosswalk near busy street,a man walking down a street with a bike ,A woman crosses the busy road on the crosswalk as traffic lines up in the opposite direction.,
330,381052465_722e00807b,firetruck fights fire,firetruck fights fire,a fire hydrant with a fire hydrant on top of it ,yellow firetruck is parked next to fire with man on ladder pouring water on it,
331,382151094_c7376cf22b,young boy eating ,young boy eating ,a young boy eating a piece of food ,boy is putting the cone end of melting ice cream cone in his mouth,
332,382701159_f98c1988cd,man fishes in the ocean,man fishes in the ocean,a man riding a wave on top of a surfboard ,"Under a sunny sky, a man is fishing with an iron rod in knee-high waves of water.",
333,384465575_31294122c0,cyclists atop hill as seen from below,cyclists atop hill as seen from below,two people riding bikes on a dirt road ,"Under a sunny sky, two people wearing red outfits are riding bicycles on a dirt road. On both sides of the road, there are dry shrubs adding to the surrounding scenery.",
334,385186343_464f5fc186,little puppy wearing pink sweater jumps,little puppy wearing pink sweater jumps,a small dog wearing a pink dress and a pink bow tie ,black dog in pink sweater is up on his hind legs in front of pink blanket ,
335,386160015_d4b31df68e,two dogs are wrestling in snow covered field,two dogs are wrestling in snow covered field,a dog jumping up into the air to catch a frisbee ,brown dog playing play wrestling with black dog on snow covered land,
336,386470686_1ae9242878,man is crouched on top of horizontal tree,man is crouched on top of horizontal tree,a man is climbing a tree in the woods ,A man wearing a white shirt sitting on a fallen tree trunk.,
337,386656845_4e77c3e3da,two dogs in the snow,two dogs in the snow,a dog and a man walking through the snow ,"Two dogs, one black and one white, are standing on a snow-covered area, observing each other with curiosity.",
338,387974450_bcd205daac,the dog chases the birds in the field,the dog chases the birds in the field,a dog running across a field with a frisbee ,black dog runs along field where black birds are beginning to fly,
339,388386075_9ac3a89ada,boy plays with train set,boy plays with train set,a little boy eating a piece of food ,"A boy is playing and enjoying with a train set, engrossed in the imaginative world he has created",
340,390986651_c801db91a0,a man is in tent,a man is in tent,a man is sleeping in the snow with a tent ,A man sits inside a tent pitched on a snowy landscape,
341,469969326_4b84073286,man sitting on the rock,man sitting on the rock,a man sitting on a rock looking at the water ,"a man sits thoughtfully on a rock, gazing out over the serene blue waters.",
342,470887785_e0b1241d94,prople is sitting togather,prople is sitting togather,a crowd of people standing around a sign with a flag ,"A group of people seated while a girl stands, holding a poster.",
343,470887795_8443ce53d0,person in kilt and sports jersey and mohawk is in store,person in kilt and sports jersey and mohawk is in store,a woman and a child playing with a toy , a boy stands sipping juice while a girl watches attentively,
344,470903027_489cc507de,many people sit in mexican restaurant,many people sit in mexican restaurant,a man sitting on a hills,a man sitting on a hillside looking at the sky ,
345,472535997_0dbf42b9f3,blonde boy is holding blue umbrella,blonde boy is holding blue umbrella,two little girls standing in a room with a baby ,two little girls standing in a room ,
346,472661386_723aae880b,four dogs are playing and jumping in the air outside,four dogs are playing and jumping in the air outside,a large group of children are standing together ,"A group of children stand close together, each holding a frame.
",
347,476233374_e1396998ef,two men in karate uniforms kicking each other,two men in karate uniforms kicking each other,little girl are playing,a little girl and a little boy playing in the water ,
348,476740978_45b65ebe0c,man runs shoeless on green lawn,man runs shoeless on green lawn,a line of pink and white kites with people standing around ,people holding pink ballon and standing in line.,
349,476759700_8911f087f8,two dogs playing in the water with stick,two dogs playing in the water with stick,a man is standing,a man in a black shirt is holding a sign ,
350,478208896_90e7187b64,cars parked on hill,cars parked on hill,a person on a rock with a surfboard ,"A woman is climbing a steep, rugged rock face.",
351,478209058_21e2c37c73,A man in red climbs a rock in a field of snow ,A man in red climbs a rock in a field of snow ,a mountain range with a mountain range ,"A vast mountain range, partially covered with snow, stretches beneath a clear blue sky. ",
352,478592803_f57cc9c461,Two women attempting to cross a busy street in China,Two women attempting to cross a busy street in China,people walking down a streets ,"Two people in red shirts navigate the highway alongside cars, buses, and cyclists.",
353,47870024_73a4481f7d,two dogs playing on sandy beach,two dogs playing on sandy beach,a man riding a cyle,a man riding a skateboard down a street ,
354,47871819_db55ac4699,The girls are playing soccer,The girls are playing soccer,two young boys playing soccer on a field ,two player one wear blue shirt and another wear with shirt playiny football on the field,
355,478754346_addb53893c,A  dirt bike rider ,A  dirt bike rider ,a man riding a dirt bike,a man wear healmet riding a dirt bike down a dirt road ,
356,479807115_3a484fb18b,woman walking on sand leaving footprints,woman walking on sand leaving footprints,a man riding a dirt bike down a dirt road ,A man wearing a white helmet rides a dirt bike along a rugged dirt road.,
357,479807465_cf42f39d00,a man riding a dirt bike ,a man riding a dirt bike ,a man riding a dirt bike on top of a dirt field ,"Two men struggle to push a bike up a steep, rugged dirt hill. ",
358,479807833_85eed6899c,dog chases deer into the woods,dog chases deer into the woods,a person on a bike riding,A cyclist navigating a scenic trail on their bike.,
359,480200554_6155e9dfeb,An man is shopping shoes,An man is shopping shoes,a man in a suit holding a bag of luggage ,"An elderly gentleman is seated in a chair, examining a pair of brown shoes in a shoe store.",
360,482088914_e6ea4501e9,man in white hardhat is standing in front of green truck,man in white hardhat is standing in front of green truck,a man in a kayak board,a man in a kayak riding through the water ,
361,482882719_165722082d,kid hanging upside down from tree,kid hanging upside down from tree,people kayak ship on top of a river ,"People glide effortlessly on skis over the shimmering surface of a river, surrounded by scenic natural beauty.",
362,483039719_75181b2726,people are standing ,people are standing ,a man is standing in the street ,a guys wearing contrast witch or black shirt seeing someone stand in street where lot of people are,
363,498444334_a680d318a1,two dogs in water with one retrieving stick,two dogs in water with one retrieving stick,three men standing on a cement platform with skateboards ,"The young guys are standing with style on a ladder, one holds bottle while one person  is stoops to picking  bottle.",
364,529198549_5cd9fedf3f,brown dog swims towards the camera,brown dog swims towards the camera,a raft with people riding in it ,"
A group of people enjoying a thrilling ride on a raft as it navigates through the river's gentle rapids.",
365,53043785_c468d6f931,girl wearing red shirt is pulling on the necklace she is wearing,girl wearing red shirt is pulling on the necklace she is wearing,a man and a baby elephant in the water ,a man and a baby elephant find joy in the water,
366,531261613_f1a045cd75,man riding horse,man riding horse,a man riding a horse down a trail ,large green tree cover the way on which man are riding horse ,
367,532131603_c82d454c8a,couple sitting on rock overlooking valley filled with trees,couple sitting on rock overlooking valley filled with trees,a dog laying in the grass with a red blanket ,a dog laying in the grass with a red blanket ,
368,533713001_2d36e93509,person with their face covered standing in desert,person with their face covered standing in desert,people sitting at tables with umbrellas ,"A bustling outdoor scene with groups of people engaged in animated discussions, sheltered beneath umbrellas at various tables.

",
369,534056823_0752303702,girl with dreadlocks standing in pool,girl with dreadlocks standing in pool,two men standing next to a large elephant ,Women pose before historic statues as two companions immortalize the scene.,
370,534056823_0752303703,dog shaking off water,dog shaking off water,a young boy laying on the ground in a grassy field ,Energetic young boys engaged in a lively ball game on a sun-drenched grassy field.,
371,534056823_0752303704,young woman in black skirt and boots walks by stores,young woman in black skirt and boots walks by stores,people sitting on a snow covered slope ,"Five people are sitting atop a snow-covered slope, taking in the breathtaking view and enjoying the serene winter landscape.",
372,534056823_0752303705,a bird stand on ground  ,a bird stand on ground  ,a bird standing on beach ,a bird standing on top of a beach ,
373,534056823_0752303706,woman wearing suitcase full of money,woman wearing suitcase full of money,a man and woman standing next to each other ,a man and woman standing next to each other on the background a big window and plants make the view good,
374,534056823_0752303707,man walks across the tightrope,man walks across the tightrope,a man is walking down the street with a fire hydrant,"a woman, stands patiently by the roadside, her gaze fixed on a distant point, perhaps awaiting a mode of transport or a familiar face.",
375,534056823_0752303708,man is talking on cellphone outside of bar,man is talking on cellphone outside of bar,a man riding a wave on top of a surfboard ,"A thrilling ride on the ocean's embrace.
",
376,534056823_0752303709,person hang gliding at sunset,person hang gliding at sunset,two zebras standing in a grassy area next to trees ,"Two zebras stand on a patch of lush grass, with a towering green tree providing shade.",
377,534056823_0752303710,person are sitting and watch to camera,person are sitting and watch to camera,"a kitchen with a stove, sink, and refrigerator ","A well-equipped kitchen featuring a stove, refrigerator, and double sink. Ample natural light floods the space through a large window, while a shelf provides additional storage.",
378,534056823_0752303711,bearded man with sunglasses in the mountains,bearded man with sunglasses in the mountains,a woman is standing in a living room with a couch ,"A woman stands quietly in the living room, surrounded by a sofa, table, and a wall-mounted mirror.",
379,534056823_0752303712,cars and people gathered in city mall area,cars and people gathered in city mall area,a zebra and a baby zebra standing in a field ,A zebra with its adorable baby is standing in front of a bushy.,
380,534056823_0752303713,black puppy jumping on the back of white puppy,black puppy jumping on the back of white puppy,a man and a child reading a book ," a loving parent cradles their curious baby, gently introducing the world of words through a colorful book.",
381,534056823_0752303714,climber walks along snowy peak,climber walks along snowy peak,a cat laying on a bench in a park ,a black cat laying on a blue or red bench in a park,
382,534056823_0752303715,dog holds an orange rag in his mouth while running,dog holds an orange rag in his mouth while running,a table topped with lots of different types of vegetables ,A colorful assortment of vegetables is displayed on the table.,
383,534056823_0752303716,black dog barking,black dog barking,a plate of food with a fork and knife ,"A culinary creation, presented on a plate with accompanying fork and knife.

",
384,534056823_0752303717,man and woman wearing black walk with arms around each other,man and woman wearing black walk with arms around each other,people are playing a video game ,"A group of young men are engrossed in a video game, some of them are comfortably sprawled across a sofa and chair.",
385,534056823_0752303718,people with strollers walking on bridge,people with strollers walking on bridge,a train on a track with wires hanging from it ,"A red train traverses the rails, its overhead wires humming with electric energy.",
386,534056823_0752303719,two white dogs run through fiels with snow,two white dogs run through fiels with snow,airplanes are parked on the runway ,"Several airplanes in patriotic colors, red, white, and blue, are parked on the runway, awaiting their next journey.",
387,534056823_0752303720,two girls and two guys walking down the street,two girls and two guys walking down the street,a baseball player swinging a bat at a ball ,"A baseball player, clad in a white jersey and white pants, swings forcefully at an incoming pitch.

",
388,534056823_0752303721,man runs shoeless on green lawn,man runs shoeless on green lawn,a black and white cow standing on a lush green hillside ,A majestic black and white horse grazes serenely on a rolling green hill. ,
389,534056823_0752303722,two dogs playing in the water with stick,two dogs playing in the water with stick,a baseball player swinging a bat at a ball ,"Three players engaged in a spirited match, a player swinging a bat at a ball",
390,534056823_0752303723,cars parked on hill,cars parked on hill,a city street with a bus and people walking around ,a city street with a red bus and people walking around ,
391,534056823_0752303724,dog is playing with bigger brown dog in the woods,dog is playing with bigger brown dog in the woods,a man sitting on a couch with a laptop ,"Two friends are comfortably seated on a sofa - one is wearing a white shirt and a green cap, typing away on his laptop while the other is on his left, engrossed in a mobile device and glancing at the screen from time to time.",
392,534056823_0752303725,gray dog is in grass,gray dog is in grass,a young boy is using a laptop computer ,"A curious young boy explores the digital world through his laptop.

",
393,534056823_0752303726,two dogs playing on sandy beach,two dogs playing on sandy beach,"a hotel room with a bed,","The two lamps are shining and illuminating the room, one located beside the sofa and the other by the bed, with a desk also present in the hotel room.",
394,534056823_0752303727,black man in red shirt,black man in red shirt,a man in a red shirt is playing frisbee ,"Dressed in a vibrant yellow shirt, a man enthusiastically plays frisbee.",
395,534056823_0752303728,people walking down trail ,people walking down trail ,a surfer is riding a wave in the ocean ,A lone figure harmonizes with the wave's rhythm. ,
396,534056823_0752303729,woman walking on sand leaving footprints,woman walking on sand leaving footprints,a bear walking across a rocky area ,"A powerful bear meanders across a rugged, stony landscape.

",
397,534056823_0752303730,person feet are sticking out from small cave,person feet are sticking out from small cave,a yellow school bus parked in a lot ,"A classic yellow school bus is parked in an empty plot, awaiting its next adventure.",
398,534056823_0752303731,dog chases deer into the woods,dog chases deer into the woods,a small brown bear walking through a grassy area ,"A tiny brown bear exploring the arid grassland.
",
399,534056823_0752303732,person jumping off of high rock,person jumping off of high rock,a red bus is driving down the street ,A red bus is traveling along the road.,
400,534056823_0752303733,man in white hardhat is standing in front of green truck,man in white hardhat is standing in front of green truck,people standing around a table,"People standing around a table with food, serving plates to serve for food.",
401,534056823_0752303734,kid hanging upside down from tree,kid hanging upside down from tree,a desk with two computers and a monitor ,"In a compact room, a desk holds three on moniter.",
402,534056823_0752303735,man sitting on an old piece of wood outside,man sitting on an old piece of wood outside,a truck is driving down a street with a tall building ,A truck is moving along a street with a tall building in the background.,
403,534056823_0752303736,two dogs in water with one retrieving stick,two dogs in water with one retrieving stick,a beach scene with birds on the sand ,A beach scene featuring birds on the sand and a single blue chair.,
404,534056823_0752303737,brown dog swims towards the camera,brown dog swims towards the camera,a bus is parked on the side of the road ,"The bus remains stationary, a quiet guardian at the side of the highway.",
405,534056823_0752303738,girl wearing red shirt is pulling on the necklace she is wearing,girl wearing red shirt is pulling on the necklace she is wearing,men standing on show ,"Beneath a cloudy sky and snow-covered mountains, two men are standing on skis in the snow. ",
406,534056823_0752303739,man is overlooking big snowy mountain,man is overlooking big snowy mountain,a woman sitting on a bench with a dog ,A woman is sitting on a bench in a park with her dog.,
407,534056823_0752303740,couple sitting on rock overlooking valley filled with trees,couple sitting on rock overlooking valley filled with trees,a large jetliner sitting on top of an airport tarmac ,"Several airplanes are parked on the runway, awaiting their next journey.",
408,534056823_0752303741,sheep are on grassy ground,sheep are on grassy ground,sheep grazing in a field ,Sheep graze peacefully near a majestic mountain.,
409,534056823_0752303742,girl with dreadlocks standing in pool,girl with dreadlocks standing in pool,a large boat in the water near a city ,A big boat in the water close to a city.,
410,534056823_0752303743,dog shaking off water,dog shaking off water,train on a track  near mountain ,a steam engine train on a track near a mountain ,
411,534056823_0752303744,young woman in black skirt and boots walks by stores,young woman in black skirt and boots walks by stores,a man is playing tennis on a court ,a player wear blue shirt  is playing tennis on a court ,
412,534056823_0752303745,dogs are playing in each other  ,dogs are playing in each other  ,group of dog riding a raft in the water ,group of dog riding a raft in the water ,
413,534056823_0752303746,woman wearing suitcase full of money,woman wearing suitcase full of money,a duck swimming in the water ,a black duck swimming in the water ,
414,534056823_0752303747,man walks across the tightrope,man walks across the tightrope,a person riding a horse on a track ,a person riding a horse on a track ,
415,534056823_0752303748,man is talking on cellphone outside of bar,man is talking on cellphone outside of bar,a man is laying on a bed with a baby ,"A woman is lying on a bed with a baby, while the mother shows the child animatinos on a laptop.",
416,534056823_0752303749,person hang gliding at sunset,person hang gliding at sunset,a man riding on the back of an elephant on a beach ,a man riding on the back of an elephant on a beach ,
417,534056823_0752303750,person are sitting and watch to camera,person are sitting and watch to camera,a man on skis in the snow ,trees cover with white snow and one man on skis in the snow ,
418,534056823_0752303751,bearded man with sunglasses in the mountains,bearded man with sunglasses in the mountains,a helicopter flying on the water,a helicopter is on the water with a man in a uniform ,
419,534056823_0752303752,cars and people gathered in city mall area,cars and people gathered in city mall area,a large group of people sitting at a table ,in a hotal two women and three men are sitting at a dinning table with a large window behind them showing a beautiful view.,
420,534056823_0752303753,black puppy jumping on the back of white puppy,black puppy jumping on the back of white puppy,a small bird sitting on a branch in the sun ,A small bird perched on a branch beneath a blue sky.,
421,534056823_0752303754,climber walks along snowy peak,climber walks along snowy peak,a baseball player swinging a bat at a ball ,a baseball player swinging a bat at a ball ,
422,534056823_0752303755,dog holds an orange rag in his mouth while running,dog holds an orange rag in his mouth while running,a large jetliner flying through a blue sky ,a large jetliner flying through a blue sky ,
423,534056823_0752303756,black dog barking,black dog barking,a white bus driving down a street next to a car ,a white bus driving down a street road to a car ,
424,534056823_0752303757,man and woman wearing black walk with arms around each other,man and woman wearing black walk with arms around each other,a soccer player kicking a soccer ball ,two a soccer player kicking a soccer ball ,
425,534056823_0752303758,people with strollers walking on bridge,people with strollers walking on bridge,a black bear walking on a grassy hillside ,a black bear walking on a grassy hillside ,
426,534056823_0752303759,two white dogs run through fiels with snow,two white dogs run through fiels with snow,a giraffe standing in a grassy field next to a fence ,a giraffe standing in a grassy field next to a fence ,
427,534056823_0752303760,two girls and two guys walking down the street,two girls and two guys walking down the street,a man playing a guitar in a living room ,a man playing a guitar in a living room ,
428,534056823_0752303761,people are standing ,people are standing ,a boat in the water with a man on it ,a boat in the water with a man on it ,
429,534056823_0752303762,people are sitting ,people are sitting ,a woman is petting a zebra ,a woman is standing with a zebra on a dirt road ,
430,534056823_0752303763,Child are standing,Child are standing,a young boys are standing together,a young boy wearing a baseball uniform and holding a bat ,
431,534056823_0752303764,person standing beside bike in stream,person standing beside bike in stream,a double decker bus is parked on  the road ,a double decker red bus is parked on the side of the road ,
432,534056823_0752303765,person of beside bike a stream,person of beside bike a stream,a horse grazing in a field with trees ,two black horse grazing in a green  field with trees ,
433,534056823_0752303766,person are sitting and watch to camera,person are sitting and watch to camera,a  ducks swimming in the water ,a flock of bluck ducks swimming in the water ,
434,534056823_0752303767,person around beside bike around stream,person around beside bike around stream,a man walking down a road ,"A man walking along a road, flanked by a herd of sheep on either side, with lush green trees in the background.",
435,534056823_0752303768,person sit on sofa,person sit on sofa,birts flying in sky ,birds  flying in the sky over a beach ,
436,534056823_0752303769,people setting on table,people setting on table,a snowboarder is doing a trick in the air ,a snowboarder is doing a trick in the air on the background trees cover with snow show fantistic scen.,
437,534056823_0752303770,people standing together,people standing together,a horses running across a field ,a herd of horses running across a grassy field ,
438,534056823_0752303771,dog is running in the snow,dog is running in the snow,a woman and a man are drinking wine at a bar, man are drinking wine at a bar,
439,534056823_0752303772,dog is running in the snow,dog is running in the snow, men are sitting at a table with laptops ,"three men are sitting on a sofa and holding  a laptop, there is a table in front of them and a juicer on the table, while on the back side there is a picture hang on wall and a window",
440,534056823_0752303773,man on skis looking at artwork for sale in the snow,man on skis looking at artwork for sale in the snow,a herd of sheep grazing in a field ,a herd of sheep grazing in a green field where the trees are planted,
441,534056823_0752303774,man drilling hole in the ice,man drilling hole in the ice,people walking in a street ,people walking down a street with umbrellas ,
442,534056823_0752303775,climber climbing an ice wall,climber climbing an ice wall,a young boy kicking a ball ,a young boy wearing  blue or red dress kicking a soccer ball in a field ,
443,534056823_0752303776,young kid playing the goalie in hockey rink,young kid playing the goalie in hockey rink,a man sitting on a surfboard ,a man sitting on a surfboard in the ocean ,
444,534056823_0752303777,man sitting in front of metal sculpture in front of building,man sitting in front of metal sculpture in front of building,"A lone figure sits peacefully on a surfboard, bathed in the golden hues of sunset.",Two woman are riding a hourses on the shore of the sea under a blue sky.,
445,534056823_0752303778,tent is being set up on the ice,tent is being set up on the ice, ducks are standing on a wooden bench ,two ducks are standing on a wooden bench  on th side of water,
446,534056823_0752303779,three people overlook green valley,three people overlook green valley,a woman feeding a cow milk from a cow , a woman caressing a cows calf,
447,534056823_0752303780,woman with paddle sits in boat on the water,woman with paddle sits in boat on the water,elephants walking through a grassy area ,a herd of elephants is going through a forest,
448,534056823_0752303781,the boy is playing on the shore of an ocean,the boy is playing on the shore of an ocean,a young boy kicking a soccer ball in a field ,"A young boy kicks a soccer ball across the green field.
",
449,534056823_0752303782,hiker standing high on bluff overlooking the mountains below,hiker standing high on bluff overlooking the mountains below,a person on skis on a snowy slope ,on a snow covered hills a person on skis on a snowy slope. ,
450,534056823_0752303783,group of hot air balloons lit up at night,group of hot air balloons lit up at night,people riding on the backs of elephants ,in a forest a people riding on the backs of elephants ,
451,534056823_0752303784,person gathered beside bike around stream,person gathered beside bike around stream,a man sitting on a bench ,a man sitting on a bench in front of a fountain ,
452,534056823_0752303785,girl holding horse lead behind fire,girl holding horse lead behind fire,a large jetliner sitting on top of an airport runway ,a large jetliner running on the airport runway while the entire city is visiable below show a beautiful view,
453,534056823_0752303786,two men are skiing in the snow in wooded area,two men are skiing in the snow in wooded area,a giraffe standing in a field with trees ,a giraffe standing in a field with trees ,
454,534056823_0752303787,two people climbing up snowy mountain,two people climbing up snowy mountain,a woman standing in the rain with an umbrella ,a woman standing in the rain holding an umbrella with a tent on her back.,
455,534056823_0752303788,woman blue jacket sits on daft horse near frozen lake,woman blue jacket sits on daft horse near frozen lake,people sitting around a table ,Four servants are sitting around a dining table and eating.,
456,534056823_0752303789,two horses are pulling woman in cart,two horses are pulling woman in cart,a bird flying in a sky ,in a sunset a bird flying over a body of water ,
457,534056823_0752303790,person wearing red vest climbs up steep rock,person wearing red vest climbs up steep rock,birds flying in the sky ,Birds are flying in a cloudy sky,
458,534056823_0752303791,people are standing ,people are standing ,a hospital room with a large group of people ,three doctor are working  in the operation theatre,
459,534056823_0752303792,dogs are playing in each other  ,dogs are playing in each other  ,a helicopter is flying over a mountain ,under a blue sky a helicopter is flying close to the ground,
460,534056823_0752303793,Child are standing,Child are standing,a boy is throwing a ball at a baseball game ,boys are playing cricket on a field while is hitting the ball with a bat,
461,534056823_0752303794,person standing beside bike in stream,person standing beside bike in stream,a man riding on the back of an elephant ,three men are riding on the back of an elephant while a room is visible behind them,
462,534056823_0752303795,person of beside bike a stream,person of beside bike a stream,a hospital room with a large group of nurses ,5 doctor are working in the operation theatre,
463,534056823_0752303796,person are sitting and watch to camera,person are sitting and watch to camera,a woman standing next to a fence with a bat ,two man are standing in front of a door with green trees on either side of them,
464,534056823_0752303797,person around beside bike around stream,person around beside bike around stream,a man is standing on a ledge outside a building ,a man climbs a ladder and cleans the windows of a building,
465,534056823_0752303798,person sit on sofa,person sit on sofa,a man in a black shirt playing a guitar ,a man in a black shirt playing a guitar ,
466,534056823_0752303799,people setting on table,people setting on table,a child sitting on a bench reading a book ,a child sitting on a bench reading a book ,
467,534056823_0752303800,people standing together,people standing together,a man riding a bike down a street ,a man riding a bike down a street ,
468,534056823_0752303801,dog is running in the snow,dog is running in the snow,two people sitting on a couch using laptops ,two boys and one girls are sitting on a sofa using a laptop whle ther is juice on the table in front of them,
469,534056823_0752303802,dog is running in the snow,dog is running in the snow,a woman sitting on a dog with a dog ,a woman is sitting and playing  a dog and her cubs.,
470,534056823_0752303803,man on skis looking at artwork for sale in the snow,man on skis looking at artwork for sale in the snow,a boy and a girl smile as they pose for a picture ,two childrens are sitting with dog and  smile as they pose for a picture ,
471,534056823_0752303804,man drilling hole in the ice,man drilling hole in the ice,a woman and a man are sitting on the grass ,"A man, a woman, and a young girl share a relaxed moment on the grass with their loyal companion dog.",
472,534056823_0752303805,climber climbing an ice wall,climber climbing an ice wall,a woman is sitting at a table ,a woman is sitting on a couch using a laptop on a table.,
473,534056823_0752303806,young kid playing the goalie in hockey rink,young kid playing the goalie in hockey rink,a man walking down the street with a suitcase ,a man and woman walking down the street with a suitcase ,
474,534056823_0752303807,man sitting in front of metal sculpture in front of building,man sitting in front of metal sculpture in front of building,a man riding a bike  ,a man riding a bike with a dog on it while a beautiful house and green trees on the side of the road provide a nice view.,
475,534056823_0752303808,tent is being set up on the ice,tent is being set up on the ice,a plane is parked on the runway at an airport ,"A solitary car rests in the foreground, its reflective surface mirroring the vibrant hues of the setting sun. Behind, an aeroplane stands motionless on the runway.",
476,534056823_0752303809,a helicopter is flying over a snow ,a helicopter is flying over a snow ,a helicopter is flying over a snow ,a black car is driving in a snowy area while red color helicopter is chasing it,
477,534056823_0752303810,woman with paddle sits in boat on the water,woman with paddle sits in boat on the water,people sitting on a rock ,Five people are sitting on the trunk of a fallen tree on the top of a mountain and overlooking the vally.,
478,534056823_0752303811,the boy is playing on the shore of an ocean,the boy is playing on the shore of an ocean,a collage of photos of various artworks , photos of various artworks ,
479,534056823_0752303812,hiker standing high on bluff overlooking the mountains below,hiker standing high on bluff overlooking the mountains below,a person walking down a street with a red and white kite ,a person walking down a street with a red and white kite ,
480,534056823_0752303813,group of hot air balloons lit up at night,group of hot air balloons lit up at night,a blurry photo of a pair of black and white scissors ,a blurry photo of a pair of black and white scissors ,
481,534056823_0752303814,person gathered beside bike around stream,person gathered beside bike around stream,a picture of a map with a bunch of different things ,a picture of a map with a bunch of different things ,
482,534056823_0752303815,girl holding horse lead behind fire,girl holding horse lead behind fire,a pile of toothbrushes sitting on top of a table ,a pile of toothbrushes sitting on top of a table ,
483,534056823_0752303816,two men are skiing in the snow in wooded area,two men are skiing in the snow in wooded area,a painting of a bunch of colorful animals on a wall ,a painting of a bunch of colorful animals on a wall ,
484,534056823_0752303817,two people climbing up snowy mountain,two people climbing up snowy mountain,a collage of photos of different colored objects ,art of paw ,
485,534056823_0752303818,woman blue jacket sits on daft horse near frozen lake,woman blue jacket sits on daft horse near frozen lake,a painting of a woman in a blue dress ,a woman is sitting on a couch using a laptop on a table.,
486,534056823_0752303819,woman in red wears glasses and long earrings,woman in red wears glasses and long earrings,a black dog and its kids,a black dog  with child,
487,COCO_test2014_000000000108.jpg,woman sits against wall in fancy building,woman sits against wall in fancy building,a train on a track ,"A train is moving on a track surrounded by a dense forest with green trees, enhancing the scenic beauty.",
488,COCO_test2014_000000000568.jpg,pink eyed boxer dog carrying pillowcase,pink eyed boxer dog carrying pillowcase,a bear is  in cage,A black bear has its paws on the cage.,
489,COCO_test2014_000000000732.jpg,the brown dogs are playing with blue toy together,the brown dogs are playing with blue toy together,a Elephant is standing on a ground  ,the Elephant is standing while tall green trees on its backside provide a good view,
490,COCO_test2014_000000001456.jpg,three people sit and look at mountains,three people sit and look at mountains,a person on skis on a snowy ,A snow-covered mountain with green trees offers a beautiful view while a person in a yellow jacket skis down the snowy slope.,
491,COCO_test2014_000000004692.jpg,two white rabbits sit on the green grass,two white rabbits sit on the green grass,sheep grazing in a field ,"The sheep are grazing on grass.
",
492,COCO_test2014_000000001650.jpg,two people ride the train,two people ride the train,person sitting on coach ,"A man and a woman are sitting on a red coach, both using mobile phones, and the woman also has a laptop open.",
493,COCO_test2014_000000003021.jpg,three children playing on rocks near lake,three children playing on rocks near lake,a boy riding horse,A child wearing a black coat and helmet is riding a horse,
494,COCO_test2014_000000003903.jpg,little boy climbing tree and smiling,little boy climbing tree and smiling,group of person are playing,"A group of people is playing a base ball.
",
